id,comment count
29527053,11
29521047,22
29523608,39
29520415,17
29521314,12
29521324,12
29524781,12
29521714,80
29520306,26
29523510,89
29525436,22
29520200,17
29527251,31
29521368,15
29524831,17
29521506,18
29521258,44
29525871,12
29524594,21
29522941,70
29525519,57
29517459,13
29519141,25
29517694,13
29519679,74
29517021,16
29517160,16
29522940,15
29517182,50
29528203,20
29522588,13
29529062,69
29526568,13
29529267,112
29525487,19
29525107,7
29529791,29
29527676,15
29530004,42
29529833,28
29527560,13
29531145,47
29530260,32
29530400,6
29529130,8
29526838,8
29530203,13
29532046,33
29531947,43
29531941,25
29528295,7
29528500,20
29528379,36
29530445,14
29528676,15
29531364,13
29533685,40
29533753,36
29533495,31
29533973,20
29532552,14
29535244,35
29531434,21
29535345,14
29535937,22
29534924,32
29532676,36
29534130,17
29532110,8
29535432,29
29532404,20
29537172,24
29537509,17
29536703,6
29534243,25
29538577,10
29538355,66
29537660,9
29538682,30
29538185,27
29535450,4
29538181,13
29539575,68
29540708,50
29535283,20
29540826,45
29541232,13
29540619,12
29538264,7
29540808,25
29540197,7
29542166,77
29540416,10
29537538,8
29543194,81
29542896,27
29542401,25
29540771,15
29539993,13
29540893,16
29542032,27
29542985,31
29542309,17
29543670,25
29543275,6
29543027,14
29545330,44
29545061,28
29546433,59
29541017,15
29545069,36
29545399,8
29544979,26
29545026,10
29543304,12
29545839,13
29547458,10
29549173,18
29548292,15
29548206,5
29548471,16
29550241,19
29550683,12
29550825,22
29550809,30
29550812,83
29549392,19
29552322,41
29552187,44
29552135,17
29550607,32
29552907,14
29551686,42
29551947,15
29552046,16
29551547,28
29552665,22
29548468,18
29551579,58
29550410,9
29553620,18
29551465,19
29554880,14
29554986,28
29555822,28
29552467,10
29552136,43
29556439,49
29555093,25
29557066,32
29554461,59
29554371,12
29559678,44
29555853,10
29559462,13
29554221,4
29555780,14
29554116,10
29559961,22
29560230,22
29556543,3
29554508,18
29559117,11
29561532,32
29561325,9
29561296,31
29562785,14
29559318,25
29561885,24
29561452,44
29557113,10
29563781,25
29562238,15
29563229,50
29564300,36
29564384,13
29557688,44
29564593,44
29564219,46
29564083,13
29567170,120
29566541,22
29566960,36
29566771,16
29567550,8
29566806,14
29564883,17
29565807,14
29567743,119
29566249,12
29568510,27
29568625,56
29569017,30
29569561,37
29568042,18
14113636,1
29566313,38
29564084,10
29568454,9
29570938,20
29568403,16
29570871,20
29570919,22
29567747,10
29569093,7
29572447,59
29573357,24
29564720,16
29573792,17
